,Species,Family,Common_name,Locality,Status,Extinct
0,aculeatus,Tachyglossidae,Short-beaked Echidna,"Australia, New South Wales, New Holland (= Sydney).",Lower risk,False
1,attenboroughi,Tachyglossidae,Sir Davids Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Cyclops Mtns, ""Oost-top, Berg Rara, 1600 m"".",Check Appendix,False
2,bartoni,Tachyglossidae,Eastern Long-beaked Echidna,"Papua New Guinea, Albert Edward Range, Mount Victoria, 8,000 ft (2438 m).",Endangered,False
3,bruijni,Tachyglossidae,Western Long-beaked Echidna.,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns.",Endangered,False
4,anatinus,Ornithorhynchidae,Platypus.,"Australia, New South Wales, New Holland (= Sydney).",Lower risk,False
5,derbianus,Didelphidae,Derbys Woolly Opossum,"None given; restricted to Colombia, Cauca, Cauca Valley (Cabrera, 1958:2).",Vulnerable,False
6,lanatus,Didelphidae,Brown-eared Woolly Opossum,"""Paraguay;"" restricted to Caazap, Caazap (Cabrera, 1916).",Lower risk,False
7,philander,Didelphidae,Bare-tailed Woolly Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>).",Lower risk,False
8,irrupta,Didelphidae,Black-shouldered Opossum,"Per, Cuzco, ""Quincemil, Province of Quispicanchis.""",Vulnerable,False
9,venusta,Didelphidae,Bushy-tailed Opossum,"Per, Pasco, ""Pozuzo.""",Vulnerable,False
10,minimus,Didelphidae,Water Opossum,"""Gujana;"" restricted to Cayenne, French Guiana (Cabrera, 1958:44).",Lower risk,False
11,albiventris,Didelphidae,White-eared Opossum,"Brazil, Minas Gerais, ""Rio das Velhas,"" Lagoa Santa.",Lower risk,False
12,aurita,Didelphidae,Big-eared Opossum,"Brazil, Bahia, ""Villa Viosa am Flusse Paruhype.""",Lower risk,False
13,marsupialis,Didelphidae,Common Opossum,"""America;"" restricted to Surinam (Thomas, 1911<i>a</i>).",Lower risk,False
14,virginiana,Didelphidae,Virginia Opossum,"""Virginia, Louisiana, Mexico, Brasil, and Peru;"" restricted to Virginia (J. A. Allen, 1901:160<i>c</i>).",Lower risk,False
15,aceramarcae,Didelphidae,Aceramarca Gracile Opossum,"Bolivia, La Paz, ""Rio Aceramarca, tributary of Rio Unduavi, Yungas.""",Endangered,False
16,agilis,Didelphidae,Agile Gracile Opossum,"Brazil, Minas Gerais, ""Lagoa Santa.""",Lower risk,False
17,dryas,Didelphidae,Wood Sprite Gracile Opossum,"Venezuela, Mrida, ""Culata.""",Vulnerable,False
18,emiliae,Didelphidae,Emilias Gracile Opossum,"Brazil, ""Para.""",Vulnerable,False
19,marica,Didelphidae,Northern Gracile Opossum,"Venezuela, Mrida, ""R. Albarregas.""",Lower risk,False
20,microtarsus,Didelphidae,Brazilian Gracile Opossum,"Brazil, So Paulo, ""Ypanema.""",Lower risk,False
21,kalinowskii,Didelphidae,Kalinowskis Mouse Opossum,"Per, Cuzco, ""Hacienda Cadena, Marcapata.""",Data Deficiency,False
22,halli,Didelphidae,Patagonian Opossum,"Argentina, Santa Cruz, ""Cabo Tres Puntas;"" subsequently emended to ""Estancia Madujada [= Estancia La Madrugada], not far from Puerto Deseado"" (Thomas, 1929:45).",Vulnerable,False
23,crassicaudata,Didelphidae,Lutrine Opossum,"Paraguay, Asuncin, by subsequent restriction (Cabrera, 1958:39).",Lower risk,False
24,andersoni,Didelphidae,Heavy-browed Mouse Opossum,"Per, Cuzco, ""Hda. Villa Carmen, Cosipata.""",Endangered,False
25,lepida,Didelphidae,Rufous Mouse Opossum,"""Peruvian Amazons;"" identified as Per, Loreto, Santa Cruz, Huallaga River, by Thomas (1888<i>a</i>:348).",Lower risk,False
26,mexicana,Didelphidae,Mexican Mouse Opossum,"Mxico, Oaxaca, ""Juquila.""",Lower risk,False
27,murina,Didelphidae,Linnaeuss Mouse Opossum,"""Asia, America;"" restricted to Surinam by Thomas (1911<i>a</i>).",Lower risk,False
28,robinsoni,Didelphidae,Robinsons Mouse Opossum,"Venezuela, Nueva Esparta, ""Margarita Island.""",Lower risk,False
29,rubra,Didelphidae,Red Mouse Opossum,"Per, Loreto, ""mouth of Rio Curaray.""",Lower risk,False
30,tyleriana,Didelphidae,Tyleria Mouse Opossum,"Venezuela, Amazonas, ""Central Camp, Mt. Duida Plateau, Upper Rio Orinoco.""",Data Deficiency,False
31,xerophila,Didelphidae,Guajira Mouse Opossum,"Colombia, Guajira, ""La Isla, 15 m, near Cajoro, 37 km NNE Paraguaipoa.""",Endangered,False
32,cracens,Didelphidae,Narrow-headed Slender Opossum,"Venezuela, Falcn, ""near La Pastora (1112'N, 6837'W), 150 m, 14 km ENE Mirimire.""",Endangered,False
33,dorothea,Didelphidae,Dorothys Slender opossum,"Bolivia, La Paz, ""Rio Solocame, 67W., 16S.""",Vulnerable,False
34,fuscatus,Didelphidae,Dusky Slender Opossum,"Venezuela, Mrida, ""Rio Abbarregas [= Ro Alvarregas].""",Lower risk,False
35,handleyi,Didelphidae,Handleys Slender Opossum,"Colombia, Antioquia, ""9 km S Valdivia.""",Endangered,False
36,impavidus,Didelphidae,Tschudis Slender Opossum,"""Der mittleren und tiefen Waldregion;"" interpreted by Cabrera (1958:16) as Per, Junn, ""Montaa de Vitoc, cerca de Chanchamayo.""",Lower risk,False
37,incanus,Didelphidae,Gray Slender Opossum,"Brazil, Minas Gerais, ""Rio das Velhas,"" Lagoa Santa.",Lower risk,False
38,invictus,Didelphidae,Panama Slender Opossum,"Panam, Darien, ""Cana.""",Lower risk,False
39,noctivagus,Didelphidae,White-bellied Slender Opossum,"""Der mittleren und tiefen Waldregion""; restricted by Tate (1933) to Per, Junn, Montaa de Vitoc, near Chanchamayo, Ro Peren drainage.",Lower risk,False
40,parvidens,Didelphidae,Delicate Slender Opossum,"Guyana, East Demerara-West Coast Berbice, ""Hyde Park, 30 miles [48 km] up the Demerara River.""",Lower risk,False
41,nudicaudatus,Didelphidae,Brown Four-eyed Opossum,"French Guiana, ""Cayenne.""",Lower risk,False
42,alstoni,Didelphidae,Alstons Mouse Opossum,"Costa Rica, Cartago, ""Tres Rios.""",Lower risk,False
43,constantiae,Didelphidae,White-bellied Woolly Mouse Opossum,"Brazil, Mato Grosso, ""Chapada.""",Lower risk,False
44,demerarae,Didelphidae,Woolly Mouse Opossum,"Guyana, East Demerara-West Coast Berbice, ""Comaccka, 80 miles [129 km] up Demerara River.""",Lower risk,False
45,regina,Didelphidae,Bare-tailed Woolly Mouse Opossum,"Colombia, Cundinamarca, ""West Cundinamarca (Bogot Region).""",Lower risk,False
46,adusta,Didelphidae,Sepia Short-tailed Opossum,"Colombia, ""W. Cundinamarca, in the low-lying hot regions.""",Lower risk,False
47,americana,Didelphidae,Northern Three-striped Opossum,"""Brasilien,"" restricted to Brazil, Pernambuco, Pernambuco, by Cabrera (1958:7).",Lower risk,False
48,brevicaudata,Didelphidae,Northern Red-sided Opossum,"""In Americae australis silvis;"" restricted to Surinam by Matschie (1916).",Lower risk,False
49,dimidiata,Didelphidae,Yellow-sided Opossum,"Uruguay, Maldonado, ""Maldonado am la Plata.""",Lower risk,False
50,domestica,Didelphidae,Gray Short-tailed Opossum,"Brazil, Mato Grosso, ""Cuyaba.""",Lower risk,False
51,emiliae,Didelphidae,Emilias Short-tailed Opossum,"Brazil, Par, ""Boim, R. Tapajoz.""",Vulnerable,False
52,iheringi,Didelphidae,Iherings Three-striped Opossum,"""Rio Grande do Sul;"" identified as Brazil, Rio Grande do Sul, Taquara, by Thomas (1888<i>a</i>).",Lower risk,False
53,kunsi,Didelphidae,Pygmy Short-tailed Opossum,"Bolivia, Beni, ""La Granja, W bank of Ro Itonamas, 4 k N Magdalena.""",Endangered,False
54,maraxina,Didelphidae,Maraj Short-tailed Opossum,"Brazil, Par, ""Caldeiro.""",Vulnerable,False
55,osgoodi,Didelphidae,Osgoods Short-tailed Opossum,"Bolivia, Cochabamba, ""Incachaca.""",Vulnerable,False
56,rubida,Didelphidae,Chestnut-striped Opossum,"Brazil, ""Bahia.""",Vulnerable,False
57,scalops,Didelphidae,Long-nosed Short-tailed Opossum,"""Brazil;"" restricted to Rio de Janeiro, Therezpolis, by Vieira (1949).",Vulnerable,False
58,sorex,Didelphidae,Southern Red-sided Opossum,"""Provinz Rio Grande do Sul;"" restricted to Brazil, Rio Grande do Sul, Taquara, by Cabrera (1958).",Vulnerable,False
59,theresa,Didelphidae,Southern Three-striped Opossum,"Brazil, Rio de Janeiro, ""Theresopolis, Organ Mtns.""",Vulnerable,False
60,unistriata,Didelphidae,One-striped Opossum,"Brazil, So Paulo, ""Ytarare"" (= Itarar).",Vulnerable,False
61,andersoni,Didelphidae,Andersons Four-eyed Opossum,"Per, Loreto, ""Yurimaguas.""",Lower risk,False
62,opossum,Didelphidae,Gray Four-eyed Opossum,"""America;"" restricted to Surinam by J. A. Allen (1900) and further restricted to Paramaribo, Surinam, by Matschie (1916).",Lower risk,False
63,elegans,Didelphidae,Elegant Fat-tailed Mouse Opossum,"Chile, Coquimbo, ""Valparaiso.""",Lower risk,False
64,macrurus,Didelphidae,Paraguayan Fat-tailed Mouse Opossum,"""Sudamerica;"" restricted to Paraguay, Presidente Hayes, ""Tapoua"" (= Tapua); see comments.",Lower risk,False
65,pallidior,Didelphidae,White-bellied Fat-tailed Mouse Opossum,"Bolivia, Oruro, ""Challapata.""",Lower risk,False
66,pusillus,Didelphidae,Common Fat-tailed Mouse Opossum,"Not stated; restricted to Paraguay, Misiones, ""San Ignacio,"" by Tate (1933).",Lower risk,False
67,velutinus,Didelphidae,Dwarf Fat-tailed Mouse Opossum,"Brazil, So Paulo, ""Ypanema.""",Lower risk,False
68,canescens,Didelphidae,Gray Mouse Opossum,"Mxico, Oaxaca, ""Santo Domingo de Guzman, Isthmus of Tehuantepec.""",Data Deficiency,False
69,caniventer,Caenolestidae,Gray-bellied Caenolestid,"Ecuador, El Oro, ""El Chiral.""",Lower risk,False
70,convelatus,Caenolestidae,Northern Caenolestid,"Ecuador, Pichincha, ""Las Maquinas, Western Andes 7000 feet [2134 m] altitude, on trail from Aloag to Santo Domingo de los Colorados.""",Lower risk,False
71,fuliginosus,Caenolestidae,Dusky Caenolestid,"""Ecuador.""",Lower risk,False
72,inca,Caenolestidae,Incan Caenolestid,"Per, Cuzco, ""Torontoy.""",Lower risk,False
73,raphanurus,Caenolestidae,Long-nosed Caenolestid,"Chile, Biobio, ""mouth of Rio Inio, south end of Chilo Island.""",Vulnerable,False
74,gliroides,Microbiotheriidae,Monito del Monte,"Chile, Biobio, ""Huite, N.E. Chiloe Island.""",Vulnerable,False
75,caurinus,Notoryctidae,Northern Marsupial Mole,"Australia, Western Australia, Wollal (= Wallal), Ninety Mile Beach.",Endangered,False
76,typhlops,Notoryctidae,Southern Marsupial Mole,"Australia, Northern Territory, Indracowrie, 100 mi. (161 km) from Charlotte Waters.",Endangered,False
77,cynocephalus,Thylacinidae,Thylacine,"Australia, Tasmania.",Endangered,False
78,fasciatus,Myrmecobiidae,Numbat,"Australia, Western Australia, Mt. Kokeby, south of Beverley.",Endangered,False
79,cristicauda,Dasyuridae,Mulgara,"Australia, South Australia, probably Lake Alexandrina.",Endangered,False
80,rosamondae,Dasyuridae,Little Red Kaluta,"Australia, Western Australia, Woodstock Station (via Marble Bar), 2135'S, 119E.",Lower risk,False
81,byrnei,Dasyuridae,Kowari,"Australia, Northern Territory, Charlotte Waters.",Vulnerable,False
82,albopunctatus,Dasyuridae,New Guinean Quoll,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Sapoea.",Vulnerable,False
83,geoffroii,Dasyuridae,Western Quoll,"Australia, New South Wales, Liverpool Plains.",Vulnerable,False
84,hallucatus,Dasyuridae,Northern Quoll,"Australia, Northern Territory, Port Essington.",Lower risk,False
85,maculatus,Dasyuridae,Tiger Quoll,"Australia, New South Wales, Port Jackson.",Endangered,False
86,spartacus,Dasyuridae,Bronze Quoll,"Papua New Guinea, Trans-fly Plains, Marehead, 841'S, 14139'E.",Vulnerable,False
87,viverrinus,Dasyuridae,Eastern Quoll,"Australia, New South Wales, Sydney.",Lower risk,False
88,melas,Dasyuridae,Three-striped Dasyure,"""Nieuw-Guinea, in de triton's baai (op 339'Z. breedte)"" = Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Lobo Dist., near Triton Bay, Mt. Lamantsjieri.",Lower risk,False
89,wallacii,Dasyuridae,Wallaces Dasyure,Aru Isl.,"Unknown, but rare.",False
90,lorentzi,Dasyuridae,Speckled Dasyure,"Indonesia, Prov. of Papua (= Irian Jaya), Djajawidjaja (= Jayawijaya) Division, Helwig Mtns, south of Mt. Wilhelmina, 2600 m.",Lower risk,False
91,apicalis,Dasyuridae,Southern Dibbler,"Australia, SW Western Australia.",Endangered,False
92,doriae,Dasyuridae,Red-bellied Marsupial Shrew,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Mori.",Data Deficiency,False
93,dorsalis,Dasyuridae,Narrow-striped Marsupial Shrew,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam.",Lower risk,False
94,bilarni,Dasyuridae,Sandstone Dibbler,"Australia, Northern Territory, Oenpelli (1220'S, 1333'E).",Lower risk,False
95,macdonnellensis,Dasyuridae,Fat-tailed False Antechinus,"Australia, Northern Territory, south of Alice Springs.",Lower risk,False
96,mimulus,Dasyuridae,Alexandria False Antechinus,"Australia, Northern Territory, near Alexandria (1903'S, 13642'E).",Vulnerable,False
97,ningbing,Dasyuridae,Ningbing False Antechinus,"Australia, Western Australia, Kimberley region, Mitchell Plateau, <i>ca.</i> 220 m, 1453'40""S, 12545'20""E.",Lower risk,False
98,woolleyae,Dasyuridae,Woolley's False Antechinus,"Australia, Western Australia, near Newligunn bore, 10 km from Errabiddy Homestead, 2533'00""S, 11708'00""E.",Lower risk,False
99,harrisii,Dasyuridae,Tasmanian Devil,Tasmania.,Lower risk,False
100,adustus,Dasyuridae,Tropical Antechinus,"Australia, Queensland, Dinner Creek, now Charmillan Creek (1742S, 14531E), 885 m, near Ravenshoe.",Unknown.,False
101,agilis,Dasyuridae,Agile Antechinus,"Australia, Australian Capital Territory, Brindabella Range, on the south side of Warks Road and Blundells Creek Road, near Lees Creek (352145""S, 1485017""E), 740 m.",Common.,False
102,bellus,Dasyuridae,Fawn Antechinus,"Australia, Northern Territory, South Alligator River.",Lower risk,False
103,flavipes,Dasyuridae,Yellow-footed Antechinus,"Australia, New South Wales, north of Hunter River.",Lower risk,False
104,godmani,Dasyuridae,Atherton Antechinus,"Australia, Queensland, Ravenshoe, Dinner Creek, 2900 ft. (884 m), 1740'S, 14530'E.",Lower risk,False
105,leo,Dasyuridae,Cinnamon Antechinus,"Australia, Queensland, Cape York Penninsula, Nesbit River, Buthen Buthen (1321'S, 14328'E).",Lower risk,False
106,minimus,Dasyuridae,Swamp Antechinus,"Australia, Tasmania; probably Waterhouse Isl, Bass Strait (see Wakefield and Warneke, 1963:209-210).",Lower risk,False
107,stuartii,Dasyuridae,Brown Antechinus,"Australia, New South Wales, Manly (Spring Cove, Sydney Harbour); neotype from Waterfall, Royal National Park.",Lower risk,False
108,subtropicus,Dasyuridae,Subtropical Antechinus,"Australia, Queensland, Emu Creek, 38 km E of Warwick (231303""S, 1522454""E).",Unknown.,False
109,swainsonii,Dasyuridae,Dusky Antechinus,"Australia, Tasmania.",Lower risk,False
110,habbema,Dasyuridae,Habbema Dasyure,"Indonesia, Prov. of Papua (= Irian Jaya), 9 km N of Lake Habbema, north slope of Mt. Wilhelmina, 2800 m.",Data Deficiency,False
111,melanurus,Dasyuridae,Black-tailed Dasyure,"Papua New Guinea, Central Prov., Astrolabe Range, Moroka, 924S, 14732E, 1300 m.",Lower risk,False
112,longicaudata,Dasyuridae,Short-furred Dasyure,"Indonesia, Aru Islands, Wonumbai.",Lower risk,False
113,rothschildi,Dasyuridae,Broad-striped Dasyure,"Papua New Guinea, Central Prov., head of Aroa River, 850S, 14706E, about 1220 m.",Vulnerable,False
114,naso,Dasyuridae,Long-nosed Dasyure,"Indonesia, Prov. of Papua (= Irian Jaya), Jayawijaya Div., Helwig Mtns, south of Mt. Wilhelmina, about 2000 m, 432S, 13841E.",Data Deficiency,False
115,calura,Dasyuridae,Red-tailed Phascogale,"Australia, Western Australia, Williams River, Military Station.",Endangered,False
116,tapoatafa,Dasyuridae,Brush-tailed Phascogale,"Australia, New South Wales, Sydney.",Lower risk,False
117,laniger,Dasyuridae,Kultarr,"Australia, interior New South Wales.",Endangered,False
118,ridei,Dasyuridae,Wongai Ningaui,"Australia, Western Australia, 38.6 km ENE Laverton (2830'S, 12247'E).",Lower risk,False
119,timealeyi,Dasyuridae,Pilbara Ningaui,"Australia, Western Australia, 32.2 km SE Mt. Robinson.",Lower risk,False
120,yvonnae,Dasyuridae,Southern Ningaui,"""Mt. Manning Area, Western Australia Goldfields, 2958'S, 11932'E"".",Lower risk,False
121,aitkeni,Dasyuridae,Kangaroo Island Dunnart,"Australia, South Australia, Kangaroo Isl, Section 46, Cassini.",Endangered,False
122,archeri,Dasyuridae,Chestnut Dunnart,"Papua New Guinea, Trans-Fly Plains, Morehead (804'S, 14139'E).",Data Deficiency,False
123,bindi,Dasyuridae,Kakadu Dunnart,"Australia, Northern Territory, Eva Valley Station, Stage 3, Kakadu National Park (1430S, 13245E).",Lower risk,False
124,boullangerensis,Dasyuridae,Boullanger Island Dunnart,"Australia, Western Australia, Boullanger Isl (3018S, 11502E), Jurien Bay.",Threatened,False
125,butleri,Dasyuridae,Carpentarian Dunnart,"Australia, Western Australia, Kalumburu (1415'S, 12640'E).",Vulnerable,False
126,crassicaudata,Dasyuridae,Fat-tailed Dunnart,"Australia, Western Australia, Williams River.",Lower risk,False
127,dolichura,Dasyuridae,Little Long-tailed Dunnart,"Western Australia, 6 km SSE of Buningonia Spring, 3228'S, 12336'E.",Lower risk,False
128,douglasi,Dasyuridae,Julia Creek Dunnart,"Australia, Queensland, Cloncurry River Watershed, Julia Creek (2040'S, 14140'E).",Endangered,False
129,fuliginosus,Dasyuridae,Sooty Dunnart,"Western Australia, King George Sound.",Data Deficiency,False
130,gilberti,Dasyuridae,Gilbert's Dunnart,"Western Australia, Mt. Saddleback, 3258'S, 11620'E.",Lower risk,False
131,granulipes,Dasyuridae,White-tailed Dunnart,"Australia, Western Australia, King George Sound (Albany).",Lower risk,False
132,griseoventer,Dasyuridae,Gray-bellied Dunnart,"Western Australia, Bindoon, 3118'S, 11601'E.",Lower risk,False
133,hirtipes,Dasyuridae,Hairy-footed Dunnart,"Australia, Northern Territory, Charlotte Waters.",Lower risk,False
134,leucopus,Dasyuridae,White-footed Dunnart,"Australia, Tasmania.",Data Deficiency,False
135,longicaudata,Dasyuridae,Long-tailed Dunnart,"Australia, Western Australia.",Lower risk,False
136,macroura,Dasyuridae,Stripe-faced Dunnart,"Australia, Queensland, Darling Downs.",Lower risk,False
137,murina,Dasyuridae,Slender-tailed Dunnart,"Australia, New South Wales, N of Hunter River.",Lower risk,False
138,ooldea,Dasyuridae,Ooldea Dunnart,"Australia, South Australia, Ooldea.",Lower risk,False
139,psammophila,Dasyuridae,Sandhill Dunnart,"Australia, Northern Territory, Lake Amadeus.",Endangered,False
140,virginiae,Dasyuridae,Red-cheeked Dunnart,"None given; Archer (1981:132) designated Australia, Queensland, Herbert Vale.",Lower risk,False
141,youngsoni,Dasyuridae,Lesser Hairy-footed Dunnart,"Western Australia, Edgar Ranges, 1850'S, 12305'E.",Lower risk,False
142,gilesi,Dasyuridae,Paucident Planigale,"Australia, South Australia, Ann Creek Station (No. 3 bore) (2818'S, 13629'40""E).",Lower risk,False
143,ingrami,Dasyuridae,Long-tailed Planigale,"Australia, Northern Territory, Alexandria.",Lower risk,False
144,maculata,Dasyuridae,Pygmy Planigale,"Australia, New South Wales, Clarence River.",Lower risk,False
145,novaeguineae,Dasyuridae,New Guinean Planigale,"Papua New Guinea, Central Prov., Rona Falls, Laloki River (vicinity of Port Moresby), 250 m.",Vulnerable,False
146,tenuirostris,Dasyuridae,Narrow-nosed Planigale,"Australia, ""collected at Bourke or Wilcannia, New South Wales"".",Lower risk,False
147,lagotis,Thylacomyidae,Greater Bilby,"Australia, Western Australia, Swan River.",Endangered,False
148,leucura,Thylacomyidae,Lesser Bilby,"Undesignated; as the specimen was sent by the South Australian Museum's taxidermist to London, Thomas (1887<i>a</i>) thought it might have originated near Adelaide or in the northern part of South Australia, whence others in the same collection had come.",Endangered,False
149,ecaudatus,Chaeropodidae,Pig-footed Bandicoot,"Australia, New South Wales, banks of Murray River, south of the junction with Murrumbridge River.",Endangered,False
150,auratus,Peramelidae,Golden Bandicoot,"Australia, Western Australia, Derby.",Vulnerable,False
151,macrourus,Peramelidae,Northern Brown Bandicoot,"Australia, Northern Territory, Port Essington.",Lower risk,False
152,obesulus,Peramelidae,Southern Brown Bandicoot,"Australia, New South Wales, Sydney, Ku-ring-gai Chase Natl. Park, 3336'S, 15116'E, see Dixon (1981).",Lower risk,False
153,bougainville,Peramelidae,Western Barred Bandicoot,"Australia, Western Australia, Shark Bay, Peron Peninsula.",Endangered,False
154,eremiana,Peramelidae,Desert Bandicoot,"Australia, Northern Territory, Burt Plain (N of Alice Springs).",Endangered,False
155,gunnii,Peramelidae,Eastern Barred Bandicoot,"Australia, Tasmania.",Endangered,False
156,nasuta,Peramelidae,Long-nosed Bandicoot,"Australia, New South Wales, Sydney.",Lower risk,False
157,broadbenti,Peramelidae,Giant Bandicoot,"Papua New Guinea, Central Prov., banks of Goldie River (a tributary of the Laloki River) inland from Port Moresby.",Data Deficiency,False
158,raffrayana,Peramelidae,Raffrays Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Amberbaki.",Lower risk,False
159,clara,Peramelidae,Claras Echymipera,"Indonesia, Prov. of Papua (= Irian Jaya), Tjenderawasih Div., Japen (=Yapen) Isl.",Data Deficiency,False
160,davidi,Peramelidae,Davids Echymipera,"Papua New Guinea, Trobriand Isls, Kiriwina Isl (0830'S, 15100'E).",Data Deficiency,False
161,echinista,Peramelidae,Menzies Echymipera,"Papua New Guinea, Western (Fly River) Province, Wipim, near Iamega (0851'S, 14258'E).",Data Deficiency,False
162,kalubu,Peramelidae,Common Echymipera,"Indonesia, Prov. of Papua (= Irian Jaya), Sorong Div., Waigeo Isl.",Lower risk,False
163,rufescens,Peramelidae,Long-nosed Echymipera,"Indonesia, Kai Isls.",Lower risk,False
164,longicauda,Peramelidae,Striped Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam, 1520 m.",Lower risk,False
165,murina,Peramelidae,Mouse Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Mtns, Sumuri Mtn, 2500 m.",Data Deficiency,False
166,papuensis,Peramelidae,Papuan Bandicoot,"Papua New Guinea, Milne Bay Prov., Mt. Mura, (30 mi [48 km] NW Mt. Simpson), Boneno, 1220-1525 m.",Data Deficiency,False
167,prattorum,Peramelidae,Seram Bandicoot,"Indonesia, Ceram (= Seram) Isl, Mt. Manusela, 1800 m.",Data Deficiency,False
168,cinereus,Phascolarctidae,Koala,"Australia, New South Wales.",Lower risk,False
169,krefftii,Vombatidae,Northern Hairy-nosed Wombat,"Australia, New South Wales, Wellington Caves, Breccia Cavern.",Endangered,False
170,latifrons,Vombatidae,Southern Hairy-nosed Wombat,"Australia, South Australia.",Lower risk,False
171,ursinus,Vombatidae,Common Wombat,"Australia, Tasmania, Bass Strait, Cape Barren Isl.",Lower risk,False
172,parvus,Burramyidae,Mountain Pygmy Possum,"Australia, New South Wales, Taralga (fossil).",Endangered,False
173,caudatus,Burramyidae,Long-tailed Pygmy Possum,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns.",Lower risk,False
174,concinnus,Burramyidae,Southwestern Pygmy Possum,"Australia, Western Australia, Swan River.",Lower risk,False
175,lepidus,Burramyidae,Tasmanian Pygmy Possum,"Australia, Tasmania.",Lower risk,False
176,nanus,Burramyidae,Eastern Pygmy Possum,"Australia, Tasmania, Ile Maria.",Lower risk,False
177,melanotis,Phalangeridae,Talaud Bear Cuscus,"Indonesia, Talaud Isls, Salebabu Isl, Lirung.",Unknown.,False
178,ursinus,Phalangeridae,Sulawesi Bear Cuscus,"Indonesia, Sulawesi, Sulawesi Utara, Minahasa, Manado.",Data Deficiency,False
179,alexandrae,Phalangeridae,Gebe Cuscus,"Indonesia, North Moluccas, Gebe Isl, near the airport (005S, 12925E).",Data Deficiency,False
180,carmelitae,Phalangeridae,Mountain Cuscus,"Papua New Guinea, Central Prov., upper Vanapa River.",Lower risk,False
181,gymnotis,Phalangeridae,Ground Cuscus,"Indonesia, Aru Isls, Gialnhegen Isl (restricted by Van der Feen, 1962:40).",Data Deficiency,False
182,intercastellanus,Phalangeridae,Eastern Common Cuscus,"Papua New Guinea, DEntrecasteaux group, Fergusson Isl.",Lower risk,False
183,lullulae,Phalangeridae,Woodlark Cuscus,"Papua New Guinea, Milne Bay Prov., Woodlark Isl.",Lower risk,False
184,matabiru,Phalangeridae,Blue-eyed Cuscus,"Indonesia, North Moluccas, Ternate, Tege Tege (050N, 12720E), 400 m.",Restricted distribution.,False
185,matanim,Phalangeridae,Telefomin Cuscus,"Papua New Guinea, West Sepik Prov., Telefomin area, Upper Sol River, 506'S, 14142'E, 2600 m.",Endangered,False
186,mimicus,Phalangeridae,Southern Common Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Mimika River, Parimau, 431S, 13636E, 250 ft (76 m).",Check Appendix,False
187,orientalis,Phalangeridae,Northern Common Cuscus,"Indonesia, Amboina (= Ambon) Isl, Maluku.",Lower risk,False
188,ornatus,Phalangeridae,Ornate Cuscus,Indonesia: Bachian (= Bacan or Batjan) Isl.,Lower risk,False
189,rothschildi,Phalangeridae,Rothschilds Cuscus,"Moluccas, Pulau Obi, Loiwuj.",Vulnerable,False
190,sericeus,Phalangeridae,Silky Cuscus,"Papua New Guinea, Angabunga Range, Owgarra, 6,000 ft (= 1829 m).",Lower risk,False
191,vestitus,Phalangeridae,Steins Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Sorong Div., Tamrau Range, Karons Mtns.",Vulnerable,False
192,kraemeri,Phalangeridae,Admiralty Island Cuscus,"Papua New Guinea, Admiralty Isls, Manus Isl.",Lower risk,False
193,maculatus,Phalangeridae,Common Spotted Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Manokwari.",Lower risk,False
194,papuensis,Phalangeridae,Waigeou Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Waigeou Isl.",Data Deficiency,False
195,rufoniger,Phalangeridae,Black-spotted Cuscus,"Papua New Guinea, Morobe Prov., Sattelberg.",Endangered,False
196,celebensis,Phalangeridae,Sulawesi Dwarf Cuscus,"Indonesia, Sulawesi, Sulawesi Selatan, Ujung Pandang (= Macassar).",Data Deficiency,False
197,pelengensis,Phalangeridae,Banggai Cuscus,Indonesia: Peleng Isl.,Lower risk,False
198,arnhemensis,Phalangeridae,Northern Brushtail,"Australia, Northern Territory, Daly River.",Common.,False
199,caninus,Phalangeridae,Short-eared Possum,"Australia, New South Wales, Hunter River.",Lower risk,False
200,cunninghami,Phalangeridae,Mountain Brushtail Possum,"Australia, C Victoria, Cambarville region.",Common.,False
201,johnstonii,Phalangeridae,Coppery Brushtail,"Australia, Queensland, Atherton Tableland.",Common.,False
