ScientificName,Status,Family,Species,CommonName_new
Cervus elaphus corsicanus,Endangered,Cervus,elaphus corsicanus, Corsican Red Deer
Cervus eldi,Endangered,Cervus,eldi, Eld'S Brow-Antlered Deer
Cervus nippon taiouanus,Endangered,Cervus,nippon taiouanus, Formosan Sika Deer
Axis (=Cervus) porcinus annamiticus,Endangered,Axis,(=Cervus) porcinus annamiticus, Indochina Hog Deer
Odocoileus virginianus clavium,Endangered,Odocoileus,virginianus clavium, Key Deer
Axis porcinus kuhli,Endangered,Axis,porcinus kuhli, Kuhl'S (=Bawean) Deer
Blastocerus dichotomus,Endangered,Blastocerus,dichotomus, Marsh Deer
Cervus elaphus macneilii,Endangered,Cervus,elaphus macneilii, Mcneill'S Deer
Moschus spp. (all species),Endangered,Moschus,spp. (all species), Musk Deer
Cervus nippon mandarinus,Endangered,Cervus,nippon mandarinus, North China Sika Deer
Ozotoceros bezoarticus,Endangered,Ozotoceros,bezoarticus, Pampas Deer
Dama mesopotamica (=dama m.),Endangered,Dama,mesopotamica (=dama m.), Persian Fallow Deer
Cervus nippon keramae,Endangered,Cervus,nippon keramae, Ryukyu Sika Deer
Cervus nippon grassianus,Endangered,Cervus,nippon grassianus, Shansi Sika Deer
Cervus nippon kopschi,Endangered,Cervus,nippon kopschi, South China Sika Deer
Cervus duvauceli,Endangered,Cervus,duvauceli, Swamp Deer
Cervus alfredi,Endangered,Cervus,alfredi, Visayan Deer
Cervus elaphus yarkandensis,Endangered,Cervus,elaphus yarkandensis, Yarkand Deer
Cuon alpinus,Endangered,Cuon,alpinus,Dhole
Antechinus apicalis,Endangered,Antechinus,apicalis,Dibbler
Lycaon pictus,Endangered,Lycaon,pictus, African Wild Dog
Lipotes vexillifer,Endangered,Lipotes,vexillifer, Chinese River Dolphin
Platanista gangetica minor,Endangered,Platanista,gangetica minor, South Asian River (Indus River Subspecies) Dolphin
Cephalorhynchus hectori hectori,Endangered,Cephalorhynchus,hectori hectori, South Island Hector'S Dolphin
Cephalorhynchus hectori maui,Endangered,Cephalorhynchus,hectori maui, Maui Dolphin
Mandrillus (=Papio) leucophaeus,Endangered,Mandrillus,(=Papio) leucophaeus,Drill
Dugong dugon,Endangered,Dugong,dugon,Dugong
Cephalophus jentinki,Endangered,Cephalophus,jentinki, Jentink'S Duiker
Taurotragus derbianus derbianus,Endangered,Taurotragus,derbianus derbianus, Western Giant Eland
Loxodonta africana,Threatened,Loxodonta,africana, African Elephant
Elephas maximus,Endangered,Elephas,maximus, Asian Elephant
Mustela nigripes,Endangered,Mustela,nigripes, Black-Footed Ferret
Mustela nigripes,XN,Mustela,nigripes, Black-Footed Ferret
Vulpes velox hebes,Endangered,Vulpes,velox hebes, Northern Swift Fox
Vulpes macrotis mutica,Endangered,Vulpes,macrotis mutica, San Joaquin Kit Fox
Urocyon littoralis catalinae,Threatened,Urocyon,littoralis catalinae, Santa Catalina Island Fox
Canis simensis,Endangered,Canis,simensis, Simien Fox
Gazella gazella,Endangered,Gazella,gazella, Arabian Gazelle
Ammodorcas clarkei,Endangered,Ammodorcas,clarkei, Clark'S Gazelle
Gazella dama,Endangered,Gazella,dama, Dama Gazelle
Gazella dama mhorr,Endangered,Gazella,dama mhorr, Mhorr Gazelle
Gazella dorcas massaesyla,Endangered,Gazella,dorcas massaesyla, Moroccan Gazelle
Gazella cuvieri,Endangered,Gazella,cuvieri, Mountain (=Cuvier'S) Gazelle
Gazella dama lozanoi,Endangered,Gazella,dama lozanoi, Rio De Oro Dama Gazelle
Gazella dorcas pelzelni,Endangered,Gazella,dorcas pelzelni, Pelzeln'S Gazelle
