ScientificName,Status,Family,Species,CommonName_new
Symphalangus syndactylus,Endangered,Symphalangus,syndactylus,Siamang
Propithecus spp.,Endangered,Propithecus,spp.,Sifakas
Bradypus torquatus,Endangered,Bradypus,torquatus, Brazilian Three-Toed Sloth
Solenodon cubanus,Endangered,Solenodon,cubanus, Cuban Solenodon
Solenodon paradoxus,Endangered,Solenodon,paradoxus, Haitian Solenodon
Glaucomys sabrinus coloratus,Endangered,Glaucomys,sabrinus coloratus, Carolina Northern Flying Squirrel
Tamiasciurus hudsonicus grahamensis,Endangered,Tamiasciurus,hudsonicus grahamensis, Mount Graham Red Squirrel
Spermophilus brunneus brunneus,Threatened,Spermophilus,brunneus brunneus, Northern Idaho Ground Squirrel
Cervus elaphus barbarus,Endangered,Cervus,elaphus barbarus, Barbary Stag
Cervus elaphus hanglu,Endangered,Cervus,elaphus hanglu, Kashmir Stag
Neotragus moschatus moschatus,Endangered,Neotragus,moschatus moschatus, Zanzibar Suni
Hemitragus jayakari,Endangered,Hemitragus,jayakari, Arabian Tahr
Bubalus mindorensis,Endangered,Bubalus,mindorensis,Tamaraw
Leontopithecus spp.,Endangered,Leontopithecus,spp., Golden-Rumped Tamarin
Saguinus bicolor,Endangered,Saguinus,bicolor, Pied Tamarin
Saguinus leucopus,Threatened,Saguinus,leucopus, White-Footed Tamarin
Tapirus indicus,Endangered,Tapirus,indicus, Asian Tapir
Tapirus bairdii,Endangered,Tapirus,bairdii, Central American Tapir
Tapirus pinchaque,Endangered,Tapirus,pinchaque, Mountain Tapir
Tapirus terrestris,Endangered,Tapirus,terrestris, South American (=Brazilian) Tapir
Tarsius syrichta,Threatened,Tarsius,syrichta, Philippine Tarsier
Panthera tigris,Endangered,Panthera,tigris,Tiger
Thylacinus cynocephalus,Endangered,Thylacinus,cynocephalus, Tasmanian Tiger
Cacajao spp.,Endangered,Cacajao,spp.,Uakari (all species)
Ovis musimon ophion,Endangered,Ovis,musimon ophion,Urial
Vicugna vicugna,Threatened,Vicugna,vicugna," Bolivia, Chile And Peru] Vicuna [Argentina"
Vicugna vicugna,Endangered,Vicugna,vicugna,Vicuna [Ecuador DPS]
Microtus californicus scirpensis,Endangered,Microtus,californicus scirpensis, Amargosa Vole
Microtus pennsylvanicus dukecampbelli,Endangered,Microtus,pennsylvanicus dukecampbelli, Florida Salt Marsh Vole
Lagostrophus fasciatus,Endangered,Lagostrophus,fasciatus, Banded Hare Wallaby
Onychogalea fraenata,Endangered,Onychogalea,fraenata, Brindled Nail-Tailed Wallaby
Onychogalea lunata,Endangered,Onychogalea,lunata, Crescent Nail-Tailed Wallaby
Macropus parma,Endangered,Macropus,parma, Parma Wallaby
Lagorchestes hirsutus,Endangered,Lagorchestes,hirsutus, Western Hare Wallaby
Petrogale xanthopus,Endangered,Petrogale,xanthopus, Yellow-Footed Rock Wallaby
Delphinapterus leucas,Endangered,Delphinapterus,leucas, Beluga [Cook Inlet Dps] Whale
Balaenoptera musculus,Endangered,Balaenoptera,musculus, Blue Whale
Balaena mysticetus,Endangered,Balaena,mysticetus, Bowhead Whale
Pseudorca crassidens,Endangered,Pseudorca,crassidens, False Killer [Main Hawaiian Islands Insular Dps] Whale
Balaenoptera physalus,Endangered,Balaenoptera,physalus, Finback Whale
Eschrichtius robustus,Endangered,Eschrichtius,robustus, Gray [Western North Pacific Dps] Whale
Megaptera novaeangliae,Endangered,Megaptera,novaeangliae, Humpback [Arabian Sea Dps] Whale
Megaptera novaeangliae,Endangered,Megaptera,novaeangliae, Humpback [Cape Verde Islands/Northwest Africa Dps] Whale
Megaptera novaeangliae,Endangered,Megaptera,novaeangliae, Humpback [Central America Dps] Whale
Megaptera novaeangliae,Threatened,Megaptera,novaeangliae, Humpback [Mexico Dps] Whale
Megaptera novaeangliae,Endangered,Megaptera,novaeangliae, Humpback [Western North Pacific Dps] Whale
Orcinus orca,Endangered,Orcinus,orca, Killer [Southern Resident Dps] Whale
Eubalaena glacialis,Endangered,Eubalaena,glacialis, North Atlantic Right Whale
Eubalaena japonica,Endangered,Eubalaena,japonica, North Pacific Right Whale
Balaenoptera borealis,Endangered,Balaenoptera,borealis, Sei Whale
Eubalaena australis,Endangered,Eubalaena,australis, Southern Right Whale
Physeter catodon (=macrocephalus),Endangered,Physeter,catodon (=macrocephalus), Sperm Whale
Canis lupus,Endangered,Canis,lupus, Gray Wolf
Canis lupus,Threatened,Canis,lupus, Gray [Mn Dps] Wolf
Chrysocyon brachyurus,Endangered,Chrysocyon,brachyurus, Maned Wolf
Canis lupus baileyi,Endangered,Canis,lupus baileyi, Mexican Wolf
Canis lupus baileyi,XN,Canis,lupus baileyi, Mexican Wolf
Canis rufus,Endangered,Canis,rufus, Red Wolf
Canis rufus,XN,Canis,rufus, Red Wolf
Lasiorhinus krefftii(formerly L. barnardi and L. gillespiei ),Endangered,Lasiorhinus,krefftii(formerly L. barnardi and L. gillespiei ), Queensland Hairy-Nosed (Incl. Barnard'S) Wombat
Neotoma floridana smalli,Endangered,Neotoma,floridana smalli, Key Largo Woodrat
Neotoma fuscipes riparia,Endangered,Neotoma,fuscipes riparia, Riparian (San Joaquin Valley) Woodrat
Bos mutus (=grunniens m.),Endangered,Bos,mutus (=grunniens m.), Wild Yak
Equus grevyi,Threatened,Equus,grevyi, Grevy'S Zebra
Equus zebra hartmannae,Threatened,Equus,zebra hartmannae, Hartmann'S Mountain Zebra
Equus zebra zebra,Endangered,Equus,zebra zebra, Mountain Zebra
