Country name,1990 sq km thousands forest area,2016 sq km thousands forest area,2018 threatened mammals,2018 threatened birds,2018 threatened fishes,2018 higher plants,% of total protected land area 2017,% of protected territorial waters
Libya ,2,2,10,8,32,7,0.2,0.6
Liechtenstein ,0,0,0,2,0,0,11.9,NA
Lithuania ,19,22,2,10,6,1,17.0,25.6
Luxembourg ,1,1,0,3,1,0,40.9,NA
North Macedonia ,9,10,6,13,13,4,9.7,NA
Madagascar ,137,125,121,37,111,"1,111",5.6,0.7
Malawi ,39,31,10,19,36,34,22.9,NA
Malaysia ,224,222,71,63,87,727,19.1,1.5
Maldives ,0,0,2,0,24,0,1.2,0.1
Mali ,67,46,14,17,2,12,8.2,NA
Malta ,0,0,2,5,22,4,30.3,6.3
Marshall Islands ,0,0,1,4,18,0,11.9,0.3
Mauritania ,4,2,18,19,45,0,0.6,4.2
Mauritius ,0,0,7,12,21,91,4.7,0.0
Mexico ,698,659,96,71,181,484,14.5,21.8
"Micronesia, Fed. Sts. ",1,1,5,12,25,5,0.0,0.0
Moldova ,3,4,4,11,8,2,4.2,NA
Monaco .. .. ,3,0,15,1,33.2,99.8,NA,NA
Mongolia ,125,125,11,24,2,0,17.7,NA
Montenegro ,6,8,6,13,32,3,6.4,0.0
Morocco ,50,56,18,18,54,52,30.8,0.3
Mozambique ,434,377,17,30,72,145,21.6,2.2
Myanmar ,392,285,49,56,53,61,6.4,2.3
Namibia ,88,68,15,32,33,27,37.9,1.7
Nepal ,48,36,29,38,7,18,23.6,NA
Netherlands ,3,4,3,10,15,1,11.2,26.7
New Caledonia ,8,8,9,17,37,350,54.4,96.6
New Zealand ,97,102,9,69,38,21,32.5,30.4
Nicaragua ,45,31,7,17,40,50,37.2,3.0
Niger ,19,11,13,13,4,4,17.3,NA
Nigeria ,172,66,31,21,74,205,13.9,0.0
Northern Mariana Islands ,0,0,3,17,14,6,7.7,33.3
Norway ,121,121,8,11,23,10,17.1,0.8
Oman ,0,0,10,13,36,6,2.6,0.1
Pakistan ,25,14,25,33,46,12,12.3,0.8
Palau ,0,0,4,6,21,5,28.0,83.0
Panama ,50,46,17,25,57,212,20.9,1.7
Papua New Guinea ,336,336,41,39,61,179,3.1,0.2
Paraguay ,212,150,10,27,0,20,14.3,NA
Peru ,779,738,53,119,52,328,21.3,0.5
Philippines ,66,83,38,93,91,254,15.3,1.2
Poland ,89,95,4,11,8,11,39.7,22.6
Portugal ,34,32,13,15,67,101,22.9,16.6
Puerto Rico ,3,5,2,11,32,64,7.3,1.7
Qatar ,0,0,4,9,17,0,13.2,1.7
Romania ,64,69,9,17,22,7,24.5,23.1
Russian Federation ,"8,090","8,149",34,57,39,56,9.7,3.0
Rwanda ,3,5,24,20,7,41,9.1,NA
Samoa ,1,2,2,6,16,2,7.3,0.1
San Marino ,0,0,0,0,0,0,NA,NA
Sao Tome And Principe ,1,1,4,12,25,49,29.3,0.0
Saudi Arabia ,10,10,11,18,41,4,4.8,2.5
Senegal ,93,82,19,19,58,14,25.4,1.1
Serbia ,25,27,6,13,15,6,6.6,NA
Seychelles ,0,0,6,13,24,61,42.1,0.0
Sierra Leone ,31,31,22,16,57,72,9.4,0.5
Singapore ,0,0,14,22,29,62,5.6,0.0
Sint Maarten (Dutch Part) .. .. ,2,1,31,3,0.0,8.7,NA,NA
Slovak Republic ,19,19,4,12,5,25,37.6,NA
Slovenia ,12,12,6,10,33,7,53.6,100.0
Solomon Islands ,23,22,19,24,24,16,2.2,0.1
Somalia ,83,63,16,21,31,49,0.8,NA
South Africa ,92,92,30,54,121,153,8.0,12.1
South Sudan .. ,72,14,21,0,17,15.5,NA,NA
Spain ,138,185,17,19,83,247,28.1,8.4
Sri Lanka ,23,21,30,16,57,297,29.9,0.1
St. Kitts And Nevis ,0,0,2,3,30,2,3.3,0.2
St. Lucia ,0,0,2,7,30,7,18.7,0.2
St. Martin (French Part) ,0,0,2,1,31,3,12.8,96.4
St. Vincent And The Grenadines ,0,0,2,4,29,6,22.4,0.2
Sudan .. ,190,16,26,32,17,2.3,16.0,NA
Suriname ,154,153,9,9,32,27,14.5,1.5
Sweden ,281,281,1,11,15,5,14.9,15.2
Switzerland ,12,13,3,9,9,4,9.7,NA
Syrian Arab Republic ,4,5,14,17,51,26,0.7,0.2
Tajikistan ,4,4,7,15,5,12,22.3,NA
Tanzania ,559,457,41,49,179,644,38.1,3.0
Thailand ,140,164,59,62,106,159,18.8,1.9
Timor-Leste ,10,7,5,6,13,2,13.1,1.4
Togo ,7,2,13,13,38,13,27.6,0.2
Tonga ,0,0,2,5,16,5,15.9,1.5
Trinidad And Tobago ,2,2,2,5,37,50,30.6,0.0
Tunisia ,6,11,14,11,39,9,7.9,1.0
Turkey ,96,118,19,20,131,113,0.2,0.1
Turkmenistan ,41,41,10,19,13,4,3.2,3.0
Turks And Caicos Islands ,0,0,2,4,30,9,44.4,0.1
Tuvalu ,0,0,2,1,13,0,2.0,0.0
Uganda ,48,19,31,30,60,64,16.1,NA
Ukraine ,93,97,11,17,24,22,4.0,3.4
United Arab Emirates ,2,3,8,13,20,0,18.0,11.3
United Kingdom ,28,32,5,11,48,42,28.7,28.9
United States ,"3,025","3,104",40,91,251,510,13.0,41.1
Uruguay ,8,19,10,22,45,22,3.4,0.7
Uzbekistan ,30,32,10,19,7,16,3.4,NA
Vanuatu ,4,4,8,8,18,10,4.2,0.0
"Venezuela, Rb ",520,465,35,52,45,86,54.1,3.5
Vietnam ,94,149,56,52,83,231,7.6,0.6
Virgin Islands (U.S.) ,0,0,1,3,29,17,13.8,0.9
West Bank And Gaza ,0,0,4,15,2,6,8.4,NA
"Yemen, Rep. ",5,5,11,16,40,163,0.8,0.5
Zambia ,528,485,13,20,20,23,37.9,NA
Zimbabwe ,222,137,10,19,3,52,27.2,NA
