"Species","CommonName_new","Status","Locality"
"septentrionalis"," Northern Long-Eared Bat","Threatened","Madagascar, Sahafary Forest."
"laniger"," Eastern Jerboa Marsupial","Endangered","Madagascar."
"occidentalis"," Western Mouse","Endangered","Madagascar, Ambondrobe, NE of Bombetoka Bay, ca. 1538S, 4624E (according to lectotype selection by Thalmann and Geissmann, 2000)."
"madagascariensis","Aye-aye","Endangered","NW Madagascar."
"pygmaeus"," Lesser Slow Loris","Threatened","Vietnam, Nhatrang."
"pygmaeus","Orangutan","Endangered","Vietnam, Nhatrang."
"senegalensis"," West African Manatee","Threatened","Senegal."
"syrichta"," Philippine Tarsier","Threatened","Philippine Isls, Samar Isl."
"goeldii"," Goeldi'S Marmoset","Endangered","Brazil, Acre, Rio Yaco."
"flaviceps"," Buff-Headed Marmoset","Endangered","Brazil, Rive, Esprito Santo."
"penicillata"," Brush-Tailed Rat-Kangaroo","Endangered","Brazil, Lamaro, Bahia."
"bicolor"," Pied Tamarin","Endangered","Brazil, Manaus, Barra de Rio Negro."
"leucopus"," White-Footed Tamarin","Threatened","Colombia, Antioquia, Medellin."
"oedipus"," Cotton-Top Marmoset","Endangered","Colombia, Bolivar, lower Rio Sinu."
"oerstedii"," Red-Backed Squirrel Monkey","Endangered","Panama, Chiriqu, vicinity of David."
"torquatus"," White-Collared Mangabey","Endangered","Brazil, Codajs, north bank of Rio Solimes."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","Brazil, Codajs, north bank of Rio Solimes."
"albinasus"," White-Nosed Saki","Endangered","Brazil, Par, Santarm."
"satanas"," Black Colobus Monkey","Endangered","Brazil, Par, lower Rio Tocantins, Camet."
"monachus"," Mediterranean Monk Seal","Endangered","Brazil, left bank of Rio Solimes between Tabatinga and Rio Tocantins."
"palliata"," Mantled Howler Monkey","Endangered","Nicaragua, Lake Nicaragua."
"pigra"," Black Howler Monkey","Threatened","Guatemala, Petn, Uaxactun."
"paniscus"," Pygmy Chimpanzee","Endangered","French Guiana."
"arachnoides"," Woolly Spider Monkey","Endangered","Brazil, Rio de Janeiro."
"flavicauda"," Yellow-Tailed Woolly Monkey","Endangered","Peru, San Martin, Puca Tambo, 5100 ft. (1555 m)."
"torquatus"," White-Collared Mangabey","Endangered","West Africa."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","West Africa."
"diana"," Diana Monkey","Endangered","Liberia."
"erythrogaster"," Red-Bellied Monkey","Endangered","""West Africa""; restricted by Groves (2001<i>c</i>:214) to Benin, Lama Forest."
"erythrotis"," Red-Eared Nose-Spotted Monkey","Endangered","Equatorial Guinea, Bioko."
"lhoesti"," L'Hoest'S Monkey","Endangered","Dem. Rep. Congo, Tschepo River, near Stanleyville."
"arctoides"," Stump-Tailed Macaque","Threatened","""Cochin-China"" (Indochina)."
"cyclopis"," Formosan Rock Macaque","Threatened","Taiwan, Jusan, Takao Pref."
"fuscata"," Japanese Macaque","Threatened","Japan."
"silenus"," Lion-Tailed Macaque","Endangered","""Ceylon"" India, Western Ghats; see Osman Hill (1974:652)."
"sinica"," Toque Macaque","Threatened","Probably Sri Lanka; see Fooden (1979)."
"cynocephalus"," Tasmanian Tiger","Endangered","Kenya, inland from Mombasa."
"gelada"," Gelada Baboon","Threatened","Ethiopia, Semyen (Simien)."
"satanas"," Black Colobus Monkey","Endangered","Equatorial Guinea, Bioko."
"larvatus"," Proboscis Monkey","Endangered","Indonesia, W Kalimantan, Pontianak."
"potenziani"," Long-Tailed Langur","Threatened","Indonesia, W Sumatra, Sipora Isl."
"nemaeus"," Douc Langur","Endangered","Cochin-China (Indo-China)."
"nigripes"," Black-Footed Cat","Endangered","Vietnam, Saigon."
"nigripes"," Black-Footed Ferret","Endangered","Vietnam, Saigon."
"nigripes"," Black-Footed Ferret","XN","Vietnam, Saigon."
"avunculus"," Tonkin Snub-Nosed Monkey","Endangered","Vietnam, Songkoi River, Yen Bay."
"bieti"," Yunnan Snub-Nosed Monkey","Endangered","China, Yunnan, left bank of upper Mekong, Kiape, 2825'N, 9855'E, ""a day's journey south of Atentse."""
"brelichi"," Guizhou Snub-Nosed Monkey","Endangered","China, N Kweichow, Van Gin Shan Range."
"roxellana"," Sichuan Snub-Nosed Monkey","Endangered","China, Sichuan, Moupin (= Baoxing, 3026'N, 10250'E)."
"concolor"," Pagi Island Langur","Endangered","Indonesia, W Sumatra, S Pagai Isl."
"shortridgei"," Shortridge'S Mouse","Endangered","Burma, Homalin (upper Chindwin)."
"concolor"," Pagi Island Langur","Endangered","Vietnam, Tonkin."
"syndactylus","Siamang","Endangered","Indonesia, W Sumatra, Bengkeulen."
"gorilla","Gorilla","Endangered","Gabon, Gabon Estuary, Mpongwe country."
"paniscus"," Pygmy Chimpanzee","Endangered","Dem. Rep. Congo, south of the upper Maringa River, 30 km south of Befale."
"troglodytes","Chimpanzee","Endangered","Gabon, Mayoumba."
"pygmaeus"," Lesser Slow Loris","Threatened","Indonesia, Kalimantan, Landak River."
"pygmaeus","Orangutan","Endangered","Indonesia, Kalimantan, Landak River."
"bicolor"," Pied Tamarin","Endangered","Indonesia, W Java, Anjer."
"cinereus","Koala","Threatened","""Gilgit [Valley],...about 6000 feet"" [Pakistan, 1829 m]."
"nigripes"," Black-Footed Cat","Endangered","""Puerta Princesa, Palawan"" [Philippines]."
"nigripes"," Black-Footed Ferret","Endangered","""Puerta Princesa, Palawan"" [Philippines]."
"nigripes"," Black-Footed Ferret","XN","""Puerta Princesa, Palawan"" [Philippines]."
"jentinki"," Jentink'S Duiker","Endangered","""Mount Kina-Balu,"" [Sabah, Malaysia]."
"maritimus"," Polar Bear","Threatened","""Foochow, province of Fokien"" [Fukien, China]."
"mexicanus"," Mexican Prairie Dog","Endangered","""La Ventura, Coahuila, Mexico."""
"parvidens"," Utah Prairie Dog","Threatened","USA, ""Buckskin Valley, Iron County, Utah."""
"vancouverensis"," Vancouver Island Marmot","Endangered","""Mt. Douglas (altitude 4,200 feet [1280 m]), twenty miles [32 km] south of Alberni, Vancouver Island, British Columbia"" [Canada]."
"mexicanus"," Mexican Prairie Dog","Endangered","""in nova Hispania?"" Restricted by Mearns (1896:443) to ""Toluca, [Mexico,] Mexico."""
"pygmaeus"," Lesser Slow Loris","Threatened","""Maximos et paene dixerim monstrosos Citills passim ad inferiorum laikum in campis squalidis."" Restricted by Ognev (1963<i>a</i>:102) to ""lower reaches of the Ural River"" ""Indersk [Kazakhstan]""."
"pygmaeus","Orangutan","Endangered","""Maximos et paene dixerim monstrosos Citills passim ad inferiorum laikum in campis squalidis."" Restricted by Ognev (1963<i>a</i>:102) to ""lower reaches of the Ural River"" ""Indersk [Kazakhstan]""."
"alpinus","Dhole","Endangered","""Big Cottonwood Meadows, ... just south of Mount Whitney, altitude 3,050 meters or 10,000 feet"" [Tulare Co., California, USA]."
"rufus"," Red Wolf","Endangered","USA, ""10 mi SW Page, Coconino County, Arizona""."
"rufus"," Red Wolf","XN","USA, ""10 mi SW Page, Coconino County, Arizona""."
"senex"," Purple-Faced Langur","Threatened","""Summit of Donner Pass, Placer Co., Cal[ifornia, USA]."""
"laniger"," Eastern Jerboa Marsupial","Endangered","Turkey, Antalya Prov., 20 km SSE Elmali, Bey Mtns, Ciglikara, 2000 m"
"canadensis"," Canada [Contiguous U.S. Dps] Lynx","Threatened","Canada, Hudson Bay."
"ingens"," Giant Kangaroo Rat","Endangered","USA, California, San Luis Obispo Co., Carrizo Plain, Painted Rock, 20 [=25.5] mi (32 km) SE of Simmler."
"australis"," Southern Right Whale","Endangered","Ecuador, Esmeraldas Prov., Cachabi River, San Javier, below Cachabi."
"pictus"," African Wild Dog","Endangered","Mexico, Jalisco, San Sebastian, 4,300 ft. (1,311 m)."
"hispidus"," Hispid Hare","Endangered","Mexico, Tamaulipas, Charco Escondido."
"fasciatus","Numbat","Endangered","USA, North Dakota, Williams Co., upper Missouri River near jct. with the Yellowstone, near Buford."
"fasciatus"," Banded Hare Wallaby","Endangered","USA, North Dakota, Williams Co., upper Missouri River near jct. with the Yellowstone, near Buford."
"parvus"," Mountain Pygmy Possum","Endangered","USA, Oregon, Wasco Co., probably near The Dalles."
"hispidus"," Hispid Hare","Endangered","Mexico (restricted to Veracruz, near Jalapa, by Merriam, 1895<i>a</i>)."
"idahoensis"," Columbia Basin Pygmy [Columbia Basin Dps] Rabbit","Endangered","USA, Idaho, Clark Co., Birch Creek (10 mi [16 km] S Nicholia [Lemhi Co.], about 6,400 ft. [1940 m])."
"paradoxus"," Haitian Solenodon","Endangered","China, NW Gansu, Nan Shan, Shargol-Dzhin."
"concolor"," Pagi Island Langur","Endangered","China, Gansu, N slope of the mountains of Xining, Guiduisha."
"cinereus","Koala","Threatened","China, W Fujian."
"sumatrensis"," Sumatran Rhinoceros","Endangered","Malaysia, Malacca."
"campestris"," Desert (=Plain) Rat-Kangaroo","Endangered","Mozambique, Tete Dist., Zambezi River, Tete."
"parvus"," Mountain Pygmy Possum","Endangered","Ethiopia, northern shore Lake Turkana, Rusia (see Yalden et al., 1996)."
"ingens"," Giant Kangaroo Rat","Endangered","Madagascar, Mahajanga Prov., Ankarafantsika Reserve, near Ampijoroa."
"rufus"," Red Wolf","Endangered","Madagascar, Antsiranana Prov., Vohima."
"rufus"," Red Wolf","XN","Madagascar, Antsiranana Prov., Vohima."
"shortridgei"," Shortridge'S Mouse","Endangered","Extreme S Angola, Ruacana Falls, 3350 ft (1021 m)."
"nivalis"," Mexican Long-Nosed Bat","Endangered","Switzerland, Berner Oberland, Faulhorn."
"torquatus"," White-Collared Mangabey","Endangered","Russia, Siberia, mouth of Ob River."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","Russia, Siberia, mouth of Ob River."
"przewalskii"," Przewalski'S Horse","Endangered","China, Qinghai, Tsaidam region, shore of Iche-zaidemin Nor."
"clarkei"," Clark'S Gazelle","Endangered","China, Yunnan, divide between the Kuikiang and Salween Rivers, 11,000 ft (3353 m); 28N."
"mexicanus"," Mexican Prairie Dog","Endangered","Mxico, Puebla, Volcn de Orizaba."
"borealis"," Sei Whale","Endangered","Canada, District of Mackenzie, Great Bear Lake, Fort Franklin."
"musculus"," Blue Whale","Endangered","Mxico, Colima, Colima."
"leucopus"," White-Footed Tamarin","Threatened","USA, Kentucky, Ballard Co., near mouth of Ohio River (as restricted by Osgood, 1909:115-116)."
"mexicanus"," Mexican Prairie Dog","Endangered","Mxico, Veracruz, 10 km E Mirador (as restricted by Dalquest, 1950:8)."
"floridanus"," Florida Bonneted Bat","Endangered","USA, Florida, Alachua Co., Gainesville."
"hirsutus"," Western Hare Wallaby","Endangered","Mxico, Jalisco, Ameca, 4000 ft (1219 m)."
"mexicanus"," Mexican Prairie Dog","Endangered","Mxico, Veracruz, Mirador (as restricted by Hooper, 1952:140)."
"paradoxus"," Haitian Solenodon","Endangered","Nicaragua, Carazo Dept., 3 mi (5 km) NNW Diriamba, about 660 m."
"raviventris"," Salt Marsh Harvest Mouse","Endangered","USA, California, San Mateo Co., Redwood City."
"tenuirostris"," Southern Planigale","Endangered","Guatemala, Huehuetenango Dept., Todos Santos, 10,000 ft (3048 m)."
"fumeus"," Smoky Mouse","Endangered","Bolivia, Cochabamba Dept., Ro Secure, El Choro, 3500 m."
"pictus"," African Wild Dog","Endangered","Per, Junn Dept., Junn, 13,700 ft (4176 m)."
"brasiliensis"," Giant Otter","Endangered","Brazil, Minas Gerais State, Lagoa Santa (as restricted by Hershkovitz, 1955<i>a</i>:662)."
"apicalis","Dibbler","Endangered","Per, Puno Dept., Valley of Ro Inambari, Santo Domingo Mine, 6000 ft (1830 m)."
"pictus"," African Wild Dog","Endangered","Panam, Darin Prov., Cana, 1800 ft (549 m)."
"bicolor"," Pied Tamarin","Endangered","Ecuador, Morona-Santiago Prov., Gualaquiza, Ro Gualaquiza, 885 m."
"concolor"," Pagi Island Langur","Endangered","Brazil, Amazonas State, Rio Curicuriari, a tributary of the upper Rio Negro, below So Gabriel."
"nigripes"," Black-Footed Cat","Endangered","Paraguay, Paraguar Dept., Ybycui National Park, 85 km SSE Atyra (as restricted by neotype designation by Myers and Carleton, 1981:14)."
"nigripes"," Black-Footed Ferret","Endangered","Paraguay, Paraguar Dept., Ybycui National Park, 85 km SSE Atyra (as restricted by neotype designation by Myers and Carleton, 1981:14)."
